Прізвище;Ім'я;По-батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Андрієвич;Миколай;Володимирович;Ч;2001-10-31;Журналіст; Рахів;площа Іванова Ігоря, буд. 9 кв. 2, Рахів, 92730;+380 29 536-44-91;andrii25@example.net
Носаченко;Марко;Федорович;Ч;1958-12-24;Ґрунтознавець; Тернопіль;парк Залізничний 3-й, буд. 2, Тернопіль, 83448;+380 86 208-21-22;zredko@example.org
Хмара;Анастасія;Анатоліївна;Ж;1974-11-05;Модельєр; Лубни;вулиця Соляна, буд. 05, Лубни, 46571;792 41 04;qzinkevych@example.org
Гайдамака;Олена;Сергіївна;Ж;1950-10-14;Патологоанатом; Чорнобиль;проспект Восьмого Березня Лінія 2-га, буд. 980, Чорнобиль, 54430;+380 70 733-42-83;zoberemko@example.org
Гречко;Богдан;Ярославович;Ч;1990-04-22;Бібліотекар; Дружба ;вулиця Вапняний 2-й, буд. 9, Дружба , 98949;+380 (44) 965-30-81;vmasliak@example.com
Микитюк;Оксенія;Кузьмівна;Ж;1965-11-07;Психолог; Белз;парк Матроська Слобідка, буд. 01 кв. 128, Белз, 58298;073 524 04 15;iaremaokhrim@example.com
Єресько;Аарон;Тимофійович;Ч;1974-09-14;Сценарист; Івано-Франківськ;шосе Аркаса Миколи, буд. 7 кв. 56, Івано-Франківськ, 38659;092 782-83-90;xzhadan@example.net
Ґерета;Марія;Дмитрівна;Ж;2002-05-23;Підприємець; Святогірськ;сквер Стельмаха, буд. 1 кв. 79, Святогірськ, 54138;506-95-05;alevtynbakumenko@example.org
Артеменко;Августин;Дмитрович;Ч;1992-03-07;Футболіст; Макіївка;набережна Травневий 4-й, буд. 3 кв. 725, Макіївка, 03322;432 99 98;bkolodub@example.org
Іванченко;Демʼян;Васильович;Ч;1953-04-20;Художник; Тернівка ;вулиця Володимира Вінниченка, буд. 192 кв. 811, Тернівка , 24569;+380 71 741 37 07;demianchuksofiia@example.net
Єременко;Спас;Георгійович;Ч;1953-09-05;Живописець; Суми;сквер Дача Ковалевського, буд. 2, Суми, 58638;+380 11 327-75-26;tarasruban@example.com
Міщенко;Трохим;Георгійович;Ч;1974-03-25;Детектив; Зугрес;вулиця Привокзальний, буд. 168, Зугрес, 11228;+380 79 242-03-43;olenaderhach@example.com
Кириленко;Борислав;Федорович;Ч;1994-03-26;Футболіст; Кобеляки;парк Благовидової, буд. 663 кв. 50, Кобеляки, 99985;+380 15 504 64 45;ulupii@example.org
Савенко;Артем;Анатолійович;Ч;1971-08-29;Астроном; Червоносів;проспект Балківська, буд. 14 кв. 02, Червоносів, 88481;048 442 69 86;vyshniaksviatoslava@example.net
Акуленко;Марта;Дмитрівна;Ж;1958-04-08;Шериф; Вовчанськ;провулок Курська, буд. 32 кв. 1, Вовчанськ, 27720;+380 56 458-09-20;conyshchenko@example.com
Вакарчук;Остап;Євгенович;Ч;1999-02-08;Електрослюсар; Ржищів;вулиця Парусна, буд. 307, Ржищів, 88761;593 03 46;iakivsuprunenko@example.net
Аронець;Єва;Петрівна;Ж;1951-02-23;Економіст; Попасна;проспект Купріна, буд. 8, Попасна, 80308;+380 12 254-91-54;karpazlatoslava@example.org
Абраменко;Віталій;Аркадійович;Ч;1955-11-17;Випробувач; Львів;площа Свободи, буд. 499, Львів, 99135;+380 81 772 82 95;adazaika@example.org
Бандурка;Віктор;Володимирович;Ч;2006-03-23;Астронавт; Сімферополь;парк Садова 4-та, буд. 9, Сімферополь, 93437;713 95 14;amvrosii75@example.com
Барабаш;Єва;Петрівна;Ж;1962-09-27;Менеджер; Дніпрорудне;провулок Машинобудівний, буд. 91, Дніпрорудне, 88798;+380 50 352 07 71;havryliukorest@example.net
Єрьоменко;Андрій;Дмитрович;Ч;1946-06-27;Етнограф; Сімферополь;набережна Аеропортівський 3-й, буд. 80, Сімферополь, 56616;052 390-52-79;milenakonoplia@example.com
Атаманюк;Давид;Петрович;Ч;1955-01-10;Скульптор; Ананьїв;шосе Маяковського, буд. 83, Ананьїв, 48352;054-05-37;korpaniukleopold@example.org
Уманець;Феофан;Ярославович;Ч;1951-02-10;Електрослюсар; Баштанка;вулиця Садова 1-ша, буд. 702 кв. 114, Баштанка, 55780;877 27 18;leonid93@example.com
Ващук;Владислав;Анатолійович;Ч;1963-04-03;Дипломат; Чуднів;парк Ніжинська, буд. 354, Чуднів, 44319;+380 (14) 832-50-51;levko03@example.net
Чарниш;Ілля;Іванович;Ч;1946-02-23;Художник; Попасна;вулиця Парковий, буд. 54 кв. 96, Попасна, 99305;062 05 41;kyrylodavydenko@example.net
Скопенко;Демʼян;Іванович;Ч;2008-02-19;Локсмайстер; Глухів;набережна Зої Космодем’янської, буд. 74, Глухів, 33608;+380 52 502 31 48;oshovkoplias@example.com
Шовкопляс;Пилип;Борисович;Ч;1960-06-26;Головний меркшейдер; Гнівань;шосе Севастопольський, буд. 7, Гнівань, 50730;594-81-85;prytulaolha@example.org
Цимбалюк;Амвросій;Андрійович;Ч;2005-04-09;Кінолог; Стебник;площа Новікова 2-га, буд. 575 кв. 6, Стебник, 82372;+380 (95) 910-30-56;demian16@example.com
Усик;Мирослав;Михайлович;Ч;2008-07-27;Громадський діяч; Миронівка;сквер Парашутний, буд. 25 кв. 118, Миронівка, 52354;418 90 42;priska76@example.com
Артеменко;Розалія;Сергіївна;Ж;1963-07-19;Хореограф; Тростянець;сквер Соціальна, буд. 80 кв. 7, Тростянець, 74395;065 898-09-87;myroslav27@example.org
Дубина;Олекса;Володимирович;Ч;1953-06-30;Нотаріус; Подільськ;набережна Матроська Слобідка, буд. 69 кв. 635, Подільськ, 82952;663 46 76;liza04@example.org
Бандура;Ірина;Юріївна;Ж;1992-02-25;Гірничий інженер; Ровеньки;проспект Катаєва, буд. 4 кв. 349, Ровеньки, 04591;+380 (94) 460-90-52;satsiukolena@example.org
Сич;Орест;Тимофійович;Ч;1949-02-18;Мікробіолог; Кременчук;шосе Яші Гордієнка, буд. 2 кв. 578, Кременчук, 02831;+380 67 172-61-26;bazavluchenkoartem@example.com
Гузенко;Мирослав;Васильович;Ч;1943-07-02;Фольклорист; Харцизьк;узвіз Карантинний узвіз, буд. 3, Харцизьк, 88379;065 374 56 00;shynkarenkoroksolana@example.net
Теличенко;Амвросій;Дмитрович;Ч;2004-06-21;Адвокат; Кам'янка-Дніпровська;вулиця Марата, буд. 0, Кам'янка-Дніпровська, 16408;052 080-80-03;qtarasenko@example.net
Матвієнко;Гаврило;Георгійович;Ч;1980-03-02;Детектив; Нова Каховка;парк Горіхова, буд. 946 кв. 102, Нова Каховка, 24852;+380 97 789 46 82;myroslavbandera@example.com
Дашенко;Орися;Юріївна;Ж;1955-03-18;Електротехнік; Миколаїв;набережна Березова, буд. 1, Миколаїв, 35405;+380 86 058-36-13;omelian29@example.org
Ґереґа;Остап;Володимирович;Ч;1952-07-20;Доцент; Вуглегірськ;сквер Андреєвського, буд. 125 кв. 478, Вуглегірськ, 75448;+380 12 253 49 08;usykmykhailo@example.net
Ґерус;Герман;Євгенович;Ч;1974-01-23;Піаніст; Баштанка;сквер Олександра Блока, буд. 517 кв. 791, Баштанка, 40523;677-84-16;zakhar13@example.com
Заруба;Зиновій;Володимирович;Ч;2006-12-15;Скульптор; Вараш;узвіз Академіка Глушка, буд. 72 кв. 54, Вараш, 58309;788 96 31;zhaivoronbohodar@example.net
Запорожець;Олекса;Федорович;Ч;1997-05-24;Живописець; Залізне;шосе Стороженка Олега, буд. 44 кв. 66, Залізне, 86362;+380 (30) 424-72-32;mvenhrynovych@example.net
Єрошенко;Мирослав;Аркадійович;Ч;1993-02-06;Педагог; Сміла;площа Шахтинський, буд. 876 кв. 8, Сміла, 17912;+380 93 021 95 78;amvrosiinestaiko@example.org
Гук;Богуслав;Кузьмич;Ч;1976-10-12;Реставратор; Вугледар;узвіз Мукачівський, буд. 116 кв. 0, Вугледар, 83826;+380 94 396-95-72;zlatoslavahavrysh@example.net
Данько;Зорян;Михайлович;Ч;1987-09-03;Астронавт; Ладижин;набережна Докова, буд. 580 кв. 7, Ладижин, 34559;+380 57 149-01-34;volodymyrartymovych@example.net
Дзиндра;Віктор;Анатолійович;Ч;1946-02-21;Соціолог; Корюківка;узвіз Вапняний 1-й, буд. 07 кв. 7, Корюківка, 81626;+380 (18) 036-97-16;dsmyk@example.com
Джунь;Максим;Георгійович;Ч;1944-11-06;Дантист; Маріуполь;шосе Глазунова 1-й, буд. 021 кв. 4, Маріуполь, 09667;+380 67 715 17 23;wiefymenko@example.net
Кальченко;Оксенія;Аркадіївна;Ж;1995-11-28;Кінокритик; Коростишів;шосе Іподромний, буд. 250, Коростишів, 94946;969 16 12;baklanavhustyn@example.org
Гоголь;Дан;Михайлович;Ч;1992-05-22;Мовознавець; Алупка;сквер Серединський, буд. 5 кв. 872, Алупка, 27280;009 517-45-30;utsarenko@example.net
Михайличенко;Орися;Іванівна;Ж;2007-01-14;Агроном; Карлівка;провулок Бугаївська, буд. 4 кв. 1, Карлівка, 91720;+380 54 213 52 29;adamenkoparmen@example.com
Байдак;Валентин;Васильович;Ч;1948-06-01;Сантехнік; Роздільна;провулок Різницький, буд. 74 кв. 7, Роздільна, 07040;+380 65 592-14-24;hunkosviatoslav@example.org
Франко;Борис;Георгійович;Ч;1997-01-21;Няня; Білицьке;проспект Купріна, буд. 235, Білицьке, 95384;899 48 20;zprytula@example.net
Яремчук;Леонід;Євгенович;Ч;1947-09-17;Астроном; Саки ;узвіз Степна, буд. 23 кв. 9, Саки , 30293;003 499 64 27;iesypenkozynovii@example.com
Бабич;Богодар;Федорович;Ч;1949-04-08;Письменник; Миронівка;вулиця Лазурний 2-й, буд. 30, Миронівка, 80969;+380 (58) 631-38-75;irenadatsenko@example.org
Опанасенко;Марина;Юріївна;Ж;1943-10-29;Географ; Кодима;узвіз Новоберегова, буд. 40 кв. 49, Кодима, 97119;+380 71 996-63-93;esliusar@example.net
Єрошенко;Демʼян;Сергійович;Ч;1981-11-11;Диригент; Дубляни;узвіз Чапаєва, буд. 167 кв. 7, Дубляни, 17166;074 161 24 54;ssirko@example.net
Ребрик;Омелян;Юрійович;Ч;1955-10-28;Продюсер; Подільськ;вулиця Амбулаторний 1-й, буд. 616, Подільськ, 45094;+380 34 101-61-81;amvrosiisheremeta@example.net
Ярема;Хома;Андрійович;Ч;1993-08-13;Палеонтолог; Вараш;набережна Ломоносова, буд. 5 кв. 5, Вараш, 03025;399-04-57;ypelekh@example.net
Павленко;Опанас;Дмитрович;Ч;1947-06-12;Медик; Таврійськ;провулок ім. К.Г. Паустовського, буд. 11, Таврійськ, 53359;704-13-17;ievhen95@example.org
Ващук;Гаврило;Васильович;Ч;2000-01-03;Філолог; Новодружеськ;провулок Педагогічний, буд. 144, Новодружеськ, 06563;051 55 45;edyta18@example.net
Тесленко;Венедикт;Кузьмич;Ч;2000-10-04;Музичний редактор; Бердичів;парк Дюківська, буд. 32 кв. 990, Бердичів, 93664;083 812 48 88;fdatsenko@example.org
Батуринець;Камілла;Аркадіївна;Ж;1985-07-03;Перекладач; Вільногірськ;провулок Деволанівська, буд. 7 кв. 89, Вільногірськ, 07674;+380 46 320-76-47;shutkoostap@example.net
Голобородько;Олег;Вікторович;Ч;1941-08-25;Мінералог; Благовіщенське;узвіз Кондренка, буд. 1 кв. 6, Благовіщенське, 76819;+380 (65) 314-19-55;steslia@example.net
Бабій;Спас;Анатолійович;Ч;1960-04-16;Дантист; Заліщики;парк Байдарочний, буд. 792, Заліщики, 84422;047 589 52 00;fedir02@example.com
Яремків;Алла;Василівна;Ж;1970-03-22;Сценарист; Новий Розділ;шосе Старосінна, буд. 24, Новий Розділ, 99968;081 529 50 35;ivan45@example.net
Жадан;Едита;Олександрівна;Ж;1974-02-02;Стоматолог; Ланівці;узвіз Лінійна, буд. 015 кв. 2, Ланівці, 47398;068 203-80-96;tymchukdmytro@example.com
Безбородьки;Спас;Михайлович;Ч;1970-01-23;Редактор; Ківерці;шосе Мелітопольська, буд. 36 кв. 361, Ківерці, 78364;021 422 04 02;priska04@example.org
Андрусенко;Віра;Дмитрівна;Ж;1963-11-09;Гицель; Балта;провулок Грецька, буд. 766 кв. 92, Балта, 46360;+380 33 747 89 20;iakovenkostanislav@example.net
Ващенко-Захарченко;Арсен;Георгійович;Ч;1958-04-29;Сантехнік; Попасна;сквер Луганська, буд. 44, Попасна, 83969;+380 38 021-67-27;ielysaveta59@example.com
Мазур;Володимира;Кузьмівна;Ж;1968-12-19;Випробувач; Брянка;сквер Савицький, буд. 747, Брянка, 89064;+380 (87) 539-04-39;zasiadkoleontii@example.com
Даньків;Мілена;Володимирівна;Ж;1971-04-11;Палеонтолог; Снігурівка;сквер Балтський 3-й, буд. 1 кв. 0, Снігурівка, 25992;246 75 46;lizatverdokhlib@example.net
Уманець;Сергій;Федорович;Ч;1997-10-20;Психолог; Городище ;площа Лиманчик 2-й Лінія 11-та, буд. 8 кв. 88, Городище , 06062;041 357-21-39;deisunklavdiia@example.org
Єщенко;Вадим;Дмитрович;Ч;1987-08-31;Програміст; Кам'янка-Дніпровська;вулиця Шовкуненка, буд. 48, Кам'янка-Дніпровська, 41852;987-42-77;ieromenkoleopold@example.com
Джунь;Аркадій;Петрович;Ч;1982-05-19;Реставратор; Рава-Руська;провулок Уральський, буд. 866 кв. 40, Рава-Руська, 82067;564 78 58;xfranko@example.org
Штепа;Демид;Михайлович;Ч;1964-01-04;Штукатур; Білозерське;набережна Карпатська, буд. 274 кв. 8, Білозерське, 58734;+380 40 214-61-74;amakohon@example.org
Данилюк;Владислав;Вікторович;Ч;2008-12-18;Хімік; Шахтарськ;сквер Рівності, буд. 78 кв. 05, Шахтарськ, 95094;+380 91 103 93 59;bohdan86@example.net
Гоголь-Яновський;Емілія;Михайлівна;Ж;1947-11-15;Правник; Білицьке;узвіз Аграрна, буд. 34 кв. 44, Білицьке, 42753;091 113-74-78;oizhakevych@example.org
Ковалюк;Оксенія;Петрівна;Ж;1999-03-11;Публіцист; Часів Яр;узвіз Березовий, буд. 702 кв. 2, Часів Яр, 51519;068 711 19 40;taranielysaveta@example.org
Радченко;Варвара;Борисівна;Ж;1985-07-04;Фермер; Вільнянськ;провулок Висоцького, буд. 74 кв. 446, Вільнянськ, 89458;018 190-49-23;babiakmariana@example.net
Байда;Ліза;Василівна;Ж;1954-05-13;Швачка; Кипуче;площа Поперечний, буд. 858 кв. 2, Кипуче, 36365;434 46 71;anzhelakarpenko@example.net
Шухевич;Галина;Дмитрівна;Ж;1939-07-30;Провізор; Львів;сквер Східчастий 3-й, буд. 28, Львів, 82566;+380 34 131-41-53;ivanpavlenko@example.net
Литвиненко;Миколай;Кузьмич;Ч;1967-12-30;Науковець; Чортків;провулок 4-та Суворовська, буд. 10, Чортків, 81884;009 589 97 31;vasylhavrylenko@example.org
Скорик;Златослава;Сергіївна;Ж;1952-03-26;Каскадер; Бровари;проспект Виставочна, буд. 865 кв. 725, Бровари, 07844;075 505-48-47;fkarpenko@example.net
Ткаченко;Марія;Кузьмівна;Ж;1986-01-03;Мінералог; Вижниця;проспект Пассіонарії, буд. 2 кв. 61, Вижниця, 68721;+380 (60) 472-46-12;dubynakamilla@example.net
Харченко;Оксенія;Михайлівна;Ж;1983-01-05;Нотаріус; Одеса;провулок Краснова, буд. 7, Одеса, 50141;214 59 79;parmenfastenko@example.org
Слюсар;Ярина;Вікторівна;Ж;1949-02-17;Штукатур; Володимир-Волинський;вулиця Брестська, буд. 05 кв. 2, Володимир-Волинський, 62369;302-50-80;datsenkoheorhii@example.net
Адамчук;Юстим;Іванович;Ч;1970-06-07;Краєзнавець; Чорнобиль;шосе Київське, буд. 29, Чорнобиль, 62229;083 686-50-19;valerii29@example.com
Швайка;Стефан;Володимирович;Ч;1966-10-19;Астроном; Снятин;сквер Дорожня, буд. 62, Снятин, 95460;924-30-09;emiliiahrytsenko@example.org
Рябошапка;Єва;Сергіївна;Ж;1968-04-11;Сантехнік; Малин;сквер Лінія 46-та, буд. 1 кв. 204, Малин, 93620;745-85-00;dnosachenko@example.com
Симоненко;Дан;Васильович;Ч;1946-11-01;Державний службовець; Вознесенськ;шосе Мостовий, буд. 02, Вознесенськ, 62544;+380 29 050-22-33;tymchukiakiv@example.net
Шутько;Пантелеймон;Володимирович;Ч;1965-09-09;Ді-джей; Васильків;вулиця 5-та Лінія Марії Демченко, буд. 245, Васильків, 48126;+380 37 758-30-15;vadym43@example.net
Іваненко;Федір;Дмитрович;Ч;1982-10-17;Прокурор; Борислав;парк Курська, буд. 01, Борислав, 51588;634-66-30;olha08@example.com
Базилевич;Ярина;Іванівна;Ж;1995-03-30;Стиліст; Червоносів;провулок Куяльницький міст, буд. 7, Червоносів, 30718;416-75-62;nataliia17@example.com
Михайлюк;Лесь;Михайлович;Ч;1945-08-15;Бізнесмен; Нове Давидково;вулиця Слєпньова, буд. 6 кв. 150, Нове Давидково, 17296;052 494 86 13;kkanivets@example.net
Дерегус;Ольга;Олександрівна;Ж;1976-11-28;Педагог; Іловайськ;набережна Сабанський, буд. 4, Іловайськ, 94032;009 13 88;eduard39@example.com
Короленко;Давид;Іванович;Ч;1992-03-01;Музикознавець; Герца;вулиця Новгородський 2-й, буд. 4 кв. 243, Герца, 73042;211 10 48;pieshchenko@example.org
Гаврилюк;Емілія;Георгіївна;Ж;2003-02-02;Громадський діяч; Новомиргород;парк Бориса Дерев'янка, буд. 370, Новомиргород, 72646;915 62 23;tsiutsiuravasylyna@example.net
Товстуха;Михайлина;Андріївна;Ж;1992-06-03;Євнух; Володимир-Волинський;провулок Аеропортівський 3-й, буд. 92, Володимир-Волинський, 88707;012 789-94-75;vieremenko@example.net
Асаула;Ігор;Сергійович;Ч;1979-07-08;Ветеринар; Кобеляки;проспект Стамбульський, буд. 3 кв. 74, Кобеляки, 40682;656-21-38;tymofii97@example.org
Батюк;Олесь;Федорович;Ч;1992-04-30;Ріелтор; Знам'янка;площа Нова, буд. 5, Знам'янка, 21359;029 121 40 97;viktorshynkarenko@example.org
Забіла;Марта;Євгенівна;Ж;1997-06-03;Математик; Дніпро ;узвіз Лінія 38-ма, буд. 3 кв. 6, Дніпро , 80186;+380 (13) 242-41-79;ustym90@example.net
Луценко;Богдан;Андрійович;Ч;1992-05-13;Соціолог; Стебник;провулок Донцова Дмитра, буд. 587 кв. 6, Стебник, 15991;059-64-07;gerusheorhii@example.com
Чаленко;Нестор;Сергійович;Ч;1964-03-29;Юрист; Червоносів;узвіз Князівська, буд. 3, Червоносів, 13616;+380 (85) 225-23-52;liurchenko@example.net
Скоробогатько;Феофан;Володимирович;Ч;1953-01-14;Бібліотекар; Овруч;парк Довга, буд. 1, Овруч, 66276;+380 (74) 662-99-03;baidaklyment@example.org
Лупій;Анастасія;Аркадіївна;Ж;1972-11-02;Скульптор; Лиман ;вулиця Канатний, буд. 6 кв. 294, Лиман , 86346;+380 82 689 70 50;valerii52@example.org
Бабко;Костянтин;Федорович;Ч;1941-02-09;Клавішник; Зугрес;проспект Верещагіна, буд. 56 кв. 660, Зугрес, 61355;109 48 54;valeriimasliak@example.com
Охримович;Орися;Георгіївна;Ж;1978-05-17;Сценарист; Калуш;площа Скворцова, буд. 207 кв. 3, Калуш, 95362;+380 48 313-26-03;qkopytko@example.com
Ванченко;Мирон;Ярославович;Ч;1964-08-26;Стоматолог; Роздільна;шосе Восьмого березня узвіз, буд. 3, Роздільна, 56767;+380 20 452-94-88;szakharchenko@example.net
Остапчук;Святослава;Іванівна;Ж;1967-02-20;Перекладач; Новодністровськ;сквер Лінія 38-ма, буд. 15 кв. 9, Новодністровськ, 68390;001 859-10-18;eibozhenkoalla@example.org
Гоголь-Яновський;Валентина;Аркадіївна;Ж;1995-09-01;Диригент; Тульчин;сквер Офіцерський 2-й, буд. 2, Тульчин, 70632;195-25-08;iesypenkoostap@example.com
Барабаш;Віолетта;Борисівна;Ж;2004-08-16;Сантехнік; Сновськ;площа Мічманський 2-й, буд. 764 кв. 704, Сновськ, 47047;+380 (44) 482-78-23;drozdolha@example.com
Олійник;Василь;Дмитрович;Ч;1993-12-30;Геофізик; Тростянець;провулок Кісельова Ігоря, буд. 64, Тростянець, 48066;+380 51 203 97 38;aatroshchenko@example.com
Шеремет;Леон;Федорович;Ч;1953-05-18;Ґрунтознавець; Краматорськ;вулиця Верхня, буд. 408 кв. 32, Краматорськ, 71086;+380 43 540 43 51;vashchukalina@example.net
Лубенець;Климент;Федорович;Ч;1975-07-19;Архітектор; Жданівка;шосе Горбатий міст, буд. 2, Жданівка, 50964;+380 (03) 931-18-37;bohuslavadamchuk@example.com
Тичина;Яків;Анатолійович;Ч;1985-02-04;Бібліотекар; Ватутіне;парк Східний 1-й, буд. 857, Ватутіне, 83065;290 79 82;marianaparasiuk@example.com
Дашенко;Станіслав;Васильович;Ч;1941-07-11;Менеджер; Мирноград;провулок Полтавська, буд. 39, Мирноград, 70505;+380 41 380-20-54;nazar30@example.org
Франко;Одарка;Федорівна;Ж;1952-12-01;М'ясник; Слов'янськ;провулок Куниці, буд. 1 кв. 15, Слов'янськ, 90059;492 02 57;hryhorii48@example.com
Носенко;Герман;Сергійович;Ч;1976-08-06;Кінокритик; Ходорів;провулок Заводська 1-ша, буд. 439, Ходорів, 67847;038 127 33 58;hryhoriipiddubnyi@example.com
Карпенко;Лукʼян;Борисович;Ч;1981-10-06;Хімік; Скалат;набережна Святослава Ріхтера, буд. 494 кв. 77, Скалат, 22914;339-50-78;romanenkosviatoslava@example.org
Давимука;Геннадій;Борисович;Ч;1960-10-24;Стиліст; Херсон;парк Красна, буд. 588, Херсон, 84716;+380 29 506 01 41;marusia50@example.org
Кабаненко;Болеслав;Кузьмич;Ч;1993-10-03;Підприємець; Калинівка ;сквер Рівний, буд. 425 кв. 086, Калинівка , 94728;+380 98 641-10-51;zartym@example.com
Яковенко;Святослава;Тимофіївна;Ж;1960-05-28;Кінорежисер; Переяслав;сквер Рекордний, буд. 387, Переяслав, 13735;707 32 39;ivan71@example.org
Ящук;Богданна;Іванівна;Ж;1959-04-16;Ґрунтознавець; Запоріжжя;провулок Скляний 1-й, буд. 0 кв. 516, Запоріжжя, 99572;859 16 75;iaremapavlyk@example.org
Шутько;Адам;Федорович;Ч;1967-02-21;Пекар; Богуслав;набережна Дальній, буд. 195, Богуслав, 30591;+380 06 735-08-74;aaronbatiuk@example.org
Бабак;Андрій;Іванович;Ч;1983-09-10;Швачка; Макіївка;площа Єврейська, буд. 048 кв. 009, Макіївка, 92039;091 474 99 96;chaikastefan@example.net
Пʼятаченко;Йосип;Володимирович;Ч;1950-04-24;Журналіст; Судак ;парк Головна, буд. 93 кв. 389, Судак , 68363;+380 67 906 62 89;kolesnychenkoviktoriia@example.com
Дуплій;Оксенія;Вікторівна;Ж;1983-03-10;Драматург; Рожище;парк Проїзний 1-й, буд. 0 кв. 091, Рожище, 97509;083 47 56;tetianakadeniuk@example.com
Ванченко;Федір;Михайлович;Ч;1998-08-13;Промисловець; Ірміно;проспект Братів Поджіо, буд. 482, Ірміно, 60039;+380 40 114-52-18;bohodarshtepa@example.org
Захарченко;Вадим;Іванович;Ч;2003-02-15;Кушнір; Красилів;проспект Кавказька, буд. 366 кв. 877, Красилів, 58999;028 553-17-16;holoborodkohlib@example.com
Забара;Костянтин;Євгенович;Ч;2003-02-12;Ювелір; Шпола;узвіз Стахановський 4-й, буд. 9, Шпола, 08768;+380 28 015 62 05;iaroslavahavrysh@example.net
Голик;Омелян;Вікторович;Ч;1978-02-09;Секретар; Кипуче;площа Офіцерська, буд. 82, Кипуче, 01386;+380 17 914 96 26;marynaatamaniuk@example.org
Годунок;Варфоломій;Андрійович;Ч;2004-08-13;Штукатур; Новомосковськ;провулок Чорноморський 7-й, буд. 44, Новомосковськ, 86389;+380 (46) 290-41-26;zdemianenko@example.org
Макогон;Емілія;Володимирівна;Ж;1988-08-17;Гірник; Підгайці;вулиця Воронцовський, буд. 579, Підгайці, 34904;+380 24 259 23 44;milenatverdokhlib@example.com
Доценко;Йосип;Сергійович;Ч;1992-05-16;Хореограф; Полонне;проспект Пересипська 7-ма, буд. 7 кв. 8, Полонне, 92263;051 023 89 93;nhrytsenko@example.net
Жарко;Леопольд;Михайлович;Ч;2005-08-15;Футболіст; Львів;площа Нафтовиків 1-й, буд. 7 кв. 17, Львів, 52255;+380 36 386 91 20;marusia12@example.com
Килимник;Мирон;Аркадійович;Ч;1974-03-28;Патологоанатом; Новий Розділ;площа Радіальна, буд. 50, Новий Розділ, 19642;+380 (10) 171-77-82;artymadam@example.org
Колодуб;Альберт;Олександрович;Ч;1980-08-17;Музикознавець; Чортків;парк Олександра Невського 5-й, буд. 87, Чортків, 64475;+380 85 377-73-34;gtalan@example.org
Яценюк;Панас;Іванович;Ч;1941-06-14;Композитор; Кобеляки;вулиця Кипарисний 2-й, буд. 7 кв. 6, Кобеляки, 83191;028 221-66-02;rizhakevych@example.com
Швачко;Соломон;Сергійович;Ч;1975-04-04;Візажист; Сміла;провулок Миколи Бажана, буд. 96 кв. 905, Сміла, 32919;+380 68 213-51-78;vlokhviktor@example.net
Баклан;Ілля;Георгійович;Ч;1966-09-19;Парфюмер; Герца;проспект Польова, буд. 982, Герца, 32029;+380 82 072 58 06;leonidkozachenko@example.net
Скиба;Макар;Євгенович;Ч;2003-10-20;Палеонтолог; Хуст;шосе Чорноморський, буд. 25 кв. 72, Хуст, 30606;326-61-05;kozakanastasiia@example.org
Артюшенко;Мирослав;Анатолійович;Ч;1983-08-22;Няня; Кадіївка;проспект Миколаївська дорога, буд. 516 кв. 055, Кадіївка, 43192;+380 (99) 173-00-09;tetianaivanychuk@example.com
Щербань;Віолетта;Петрівна;Ж;1994-12-11;Модельєр; Моспине;сквер Станційна 2-га, буд. 309 кв. 70, Моспине, 19685;+380 14 944-61-46;albinakashchenko@example.com
Базилевич;Василина;Петрівна;Ж;1946-09-02;Науковець; Марганець ;сквер Панченка, буд. 70, Марганець , 76427;+380 (60) 418-56-41;zhadandavyd@example.com
Смик;Михайлина;Володимирівна;Ж;1977-04-09;Громадський діяч; Добромиль;набережна Ангарська, буд. 68 кв. 4, Добромиль, 65532;070 957 25 16;azararonets@example.com
Вергун;Ірена;Іванівна;Ж;2007-07-22;Детектив; Синельникове;провулок Леваневського, буд. 57 кв. 44, Синельникове, 16689;067 037-19-63;prokhirfilipenko@example.org
Василевич;Іван;Кузьмич;Ч;1957-07-09;Швачка; Дніпро ;сквер Катерининська, буд. 05, Дніпро , 29016;+380 66 587-43-13;tsiupasolomon@example.net
Цибуленко;Василина;Євгенівна;Ж;1990-10-03;Педагог; Стебник;вулиця Жоліо-Кюрі, буд. 4 кв. 615, Стебник, 17994;082 737-55-99;aleksandrenkomykhailo@example.org
Ящук;Аніта;Сергіївна;Ж;1973-09-13;Соціолог; Балта;провулок Градоначальницька, буд. 949, Балта, 36601;929 82 95;babychaaron@example.net
Рубан;Єфрем;Андрійович;Ч;1967-01-18;Сантехнік; Антрацит ;провулок Студентський 3-й, буд. 4 кв. 667, Антрацит , 63107;071 823 89 04;holoborodkoalbina@example.com
Шахрай;Ада;Володимирівна;Ж;1942-05-18;Швачка; Мерефа;набережна Вершинна, буд. 1, Мерефа, 60843;086 026-62-14;sadamenko@example.net
Зінчук;Амалія;Борисівна;Ж;1978-05-29;Програміст; Шахтарськ;парк Іванівський переїзд, буд. 935 кв. 0, Шахтарськ, 27822;+380 65 565-10-56;prokhir54@example.net
Масляк;Дмитро;Сергійович;Ч;1940-02-23;Фотограф; Новоград-Волинський;площа Чапаєва, буд. 189, Новоград-Волинський, 48740;074 453 55 88;andriitsymbaliuk@example.net
